product_url,category,product_name,brand,star_rating,number_of_reviews,MRP,sale_price,colour,product information,description
https://decathlon-usa.myshopify.com/products/womens-ski-simple-warm-base-layer?adept-product=womens-ski-simple-warm-base-layer,Base Layer,Thermal Underwear Base Layer Top Women's,Decathlon Wedze,4.5,"7366
Reviews)",$9.99 ,$8.00 ,Black,"{'      Composition    ': ' Main fabric: 100.0% Polyester', '      What is the fit of the 100 base layer?    ': "" The 100 base layer comes in a REGULAR fit.It's a classic straight cut suitable for all body shapes."", '      What are the benefits of polyester?    ': ' Polyester is the most-used fiber for base garments because it is relatively inexpensive and offers excellent performance in various respects, and especially because the fibers can be knitted to obtain a very lightweight and durable fabric. It actively absorbs moisture but does not dry particularly well when wet.It is limited in its ability to reduce odors.', '      How to dress to stay warm on the slopes?    ': ' You just need 3 layers to keep dry on the ski slopes:- Layer 1 or a 2nd skin, to stay dry. - Layer 2 or an insulating layer, to keep the heat in. - Layer 3 or a protective layer to protect against the elements.', '      A product-specific environmental rating    ': "" The product's environmental footprint is calculated for its entire life using various indicators. An overall score from A to E is given to help you easily identify the most eco-friendly products by comparing products of the same type (T-shirts, pants, backpacks, etc, ...)."", '      Product testing    ': ' All Wedze products are created, designed, and developed in the Mont Blanc Valley. They are then tested under the same conditions as you would experience in real-life use (snow, cold, powder snow, etc.). The design teams ensure that the program for which the product has been designed and developed matches perfectly with its use in the field.', '      Storage instructions    ': ' Dry thoroughly before storing.', '      Origin    ': ' Imported'}","[""Thermal Underwear Base Layer Top Women's | Designed for female skiers and snowboarders looking for a warm, technical base layer with stretch."", 'This warm base layer, will keep you comfortable throughout the day.', 'Moisture wicking', 'VERY LOW: a fabric that provides moisture wicking and low-level drying.', 'Warmth', 'AVERAGE: brushed lining for warmth.', 'Odor control', 'VERY LOW: the polyester fiber has a low odor-reducing capacity.']"
https://decathlon-usa.myshopify.com/products/mens-ski-underwear-top-i-soft?adept-product=mens-ski-underwear-top-i-soft,Base Layer,Ski 580 I-Soft Thermal Underwear Base Layer Top Men's,Decathlon Wedze,4.6,"1088
Reviews)",$34.99 ,$30.00 ,Black,"{'      Composition    ': ' Main fabric: 97.0% Polyamide, 3.0% Elastane', '      What is the fit of the i-soft base layer?    ': ' The I-Soft base layer comes in slim fit. It is a 2nd skin with a slim fit that reduces friction.', '      What are the benefits of polyamide?    ': ' Polyamide has the highest strength of all textile raw materials (even when wet) and is very stretchy.This breathable fiber manages moisture very well and provides good temperature regulation.These specially textured super-soft yarns give fabrics a silky, natural feel. Ideal for tight, seamless clothing.', '      Technical structure of the product    ': ' Thanks to its intelligent bodymapping and brushed polyamide fiber created from I-Soft technology, this 2nd skin will ensure you feel a warmth that is distributed evenly over the whole body.', '      What is i-soft technology?    ': "" I-Soft technology enhances the fabric's performance, providing a variety of benefits: softness, warmth, and next-to-skin comfort. It also enhances garment performance, providing better heat regulation, humidity absorption, and thermal insulation. To achieve this softness, the base layer is brushed."", '      What is i-band technology?    ': "" I-Band technology is an innovative design used around the waist of the I-Soft top and bottom base layers. It helps keep the garment in place so that it doesn't ride up or fall down when skiing."", '      How to dress to stay warm on the slopes    ': ' You just need 3 technical layers to keep warm on the ski slopes:- Layer 1 or a 2nd skin, to stay dry. - Layer 2 or an insulating layer, to keep the heat in. - Layer 3 or a protective layer to protect against the elements.', '      Determining the environmental impact of our products    ': ' The environmental impact of the product is calculated over its entire lifecycle and using various indicators. An overall score from A to E is given to help you easily identify the most eco-friendly products by comparing products of the same type (T-shirts, pants, backpacks, etc.)', '      Product testing    ': ' All Wedze products are conceived, designed, and developed in the Mont Blanc Valley. They are then tested under the same conditions as you would experience in real-life use (snow, cold, powder snow, etc.). The design teams ensure that the program for which the product has been designed and developed matches perfectly with its use in the field.', '      Storage instructions    ': ' Dry thoroughly before storing.', '      Origin    ': ' Imported'}","[""Ski 580 I-Soft Thermal Underwear Base Layer Top Men's | Developed for skiers who ski at a moderate intensity (high perspiration) in cold weather, seeking a comfortable and extremely soft 2nd skin."", 'Enjoy the unprecedented comfort of this incredibly soft 2nd skin thanks to its I-Soft technology (brushed fabric).', 'Moisture wicking', 'Good: intelligent bodymapping for effective transfer and fast drying.', 'Warmth', 'Average: bodymapping integrated into brushed component for a feeling of warmth', 'Irritation reduction', 'Seamless technology: fewer seams to reduce irritation.']"
https://decathlon-usa.myshopify.com/products/cycling-sleeveless-base-layer-500?adept-product=cycling-sleeveless-base-layer-500,Base Layer,Van Rysel Summer Training Cycling Base Layer Men's,Decathlon,4.6,"2311
Reviews)",$24.99 ,$24.99 ,Snow White,"{'      Composition    ': ' Main fabric: 83.0% Polyester, 17.0% Elastane', '      Origin    ': ' Imported'}","[""Van Rysel Summer Training Cycling Base Layer Men's | Developed by our engineers for cycling in warm weather, this base layer ensures excellent moisture management and quick dry."", ""This men's, sleeveless, cycling base layer keeps you dry in any conditions.Ultra-lightweight and pleasant to wear, it's the perfect base layer to wear when cycling in hot weather."", 'Moisture wicking', 'Breathable, honeycomb fabric for excellent moisture management.', 'Lightweight', 'Ultra-lightweight, fitted cut.', 'Quick dry', 'Quick-drying honeycomb fabric.']"
https://decathlon-usa.myshopify.com/products/mens-cycling-short-sleeved-base-layer-100?adept-product=mens-cycling-short-sleeved-base-layer-100,Base Layer,Van Rysel Essential Cycling Base Layer Men's,Decathlon,4.4,"959
Reviews)",$14.99 ,$10.00 ,Snow White,"{'      Composition    ': ' Main fabric: 100.0% Polyethylene Terephtalate', '      Origin    ': ' Imported'}","[""Van Rysel Essential Cycling Base Layer Men's | Used as a first layer, this Essential base layer is ideal for protecting you from the cold when riding your bike."", 'This 100 cycling base layer for men is made out of fabric that very effectively wicks away perspiration. Lightweight and pleasant to wear.', 'Moisture wicking', 'Polyester fabric actively wicks away perspiration.', 'Freedom of movement', 'Straight and wide cut; longer in the back suited to cycling.', 'Lightweight', ""Soft base layer that's pleasant to wear.""]"
https://decathlon-usa.myshopify.com/products/keepdry-500-long-sleeve-soccer-base-layer-top-195072?adept-product=keepdry-500-long-sleeve-soccer-base-layer-top-195072,Base Layer,Keepdry 500 Long Sleeve Soccer Base Layer Top Adult,Decathlon Kipsta,4.6,"7445
Reviews)",$24.99 ,$19.99 ,Snow White,"{'      Composition    ': ' Main fabric: 67.0% Polyester, 30.0% Polyamide, 3.0% Elastane', '      Why wear a base layer top for soccer?    ': "" A soccer base layer top, often called a technical or thermal base layer top, helps to: . Retain body heat when the product is slim-fitting. . Absorb perspiration and transfer it to the outside. Your skin stays dry to prevent chilling . Provide an additional barrier against bad weather. Keep your soccer shirt dry, even when you're running hard. Playing with a technical base layer keeps you on the field for longer."", '      The keepdry 500 range gets a facelift for 2019    ': ' The complete outfit: short or long sleeve base layer top, undershorts, and tights. A design inspired by specialist weaves The new fabric is more efficient when it comes to breathability and keeping the body warmA significant amount of polyamide to reduce unpleasant odorsAn open weave on the warmer body partsFeatures such as thumb loops and a 3D weave to reduce impacts when landing on your elbows, knees, and the sides of your bottomResistance to pulling', '      What our design team has to say    ': "" We're always listening to our users, and as a result we've crafted a product that meets the needs of more experienced players. In the heart of the action, the pace of play picks up and the intensity varies more. Clothing must be ultra-breathable to regulate your body temperature during the most intense phases of play. Your base layer should also be close-fitting in order to quickly absorb perspiration while keeping your body warm."", '      Our field tests in a climate chamber    ': "" Our range of technical base layers was tested in a climate chamber with a group of 30 athletes in January 2020. The climate chamber allows us to perform all tests in the same climatic conditions (temperature, wind). Our certification department uses a strict protocol to assess the classification of the garment's ability to keep your skin dry, retain body heat, and prevent shivering. 1. Keepdry 5002. Keepdry 1003. Benchmark competitor product."", '      Origin    ': ' Imported'}","['Keepdry 500 Long Sleeve Soccer Base Layer Top Adult | Our soccer design team created the KEEPDRY 500 base layer top to meet the needs of not only soccer players but all those exercising in cold conditions.', 'The Keepdry 500 base layer is most effective as your 1st of multiple layers & is ideal for sub-freezing temperatures.The breathable material helps to reduce sweat build up, keeping you both warm & dry', 'Warmth', 'This base layer protects from cold and improves thermal regulation in the body.', 'Breathability', 'The fabric wicks away perspiration, leaving the skin dry and the body warm.', 'Irritation reduction', 'The seamless knit reduces sources of chafing.', 'Easy to use', 'The thumb hole has changed based on your feedback. It stays closed on your arm.', 'Abrasion resistant', 'The elbows are thicker so that impacts with the floor after tackles are gentler.', 'Freedom of movement', 'The 4-way stretch fabric feels like a 2nd skin.']"
https://decathlon-usa.myshopify.com/products/keepdry-500-short-sleeve-soccer-base-layer-top-195073?adept-product=keepdry-500-short-sleeve-soccer-base-layer-top-195073,Base Layer,Keepdry 500 Short Sleeve Soccer Base Layer Top Men's,Decathlon Kipsta,4.7,"1287
Reviews)",$19.99 ,$14.99 ,Black,"{'      Composition    ': ' Main fabric: 67.0% Polyester, 30.0% Polyamide, 3.0% Elastane', '      Why wear a base layer top for soccer?    ': "" A soccer base layer top, often called a technical or thermal base layer top, helps to: . Retain body heat when the product is slim-fitting. . Absorb perspiration and transfer it to the outside. Your skin stays dry to prevent chilling . Provide an additional barrier against bad weather. Keep your soccer shirt dry, even when you're running hard. Playing with a technical base layer keeps you on the field for longer."", '      The keepdry 500 range gets a facelift for 2019/2020    ': ' The complete outfit: short or long sleeve base layer top, undershorts, and tights. A design inspired by specialist weaves The new fabric is more efficient when it comes to breathability and keeping the body warmA significant amount of polyamide to reduce unpleasant odorsAn open weave on the warmer body partsFeatures such as thumb loops and a 3D weave to reduce impacts when landing on your elbows, knees, and the sides of your buttocksResistance to pulling', '      Storage instructions    ': ' Remove from your sports bag after use.', '      Origin    ': ' Imported'}","[""Keepdry 500 Short Sleeve Soccer Base Layer Top Men's | Our soccer designers created the Keepdry 500 base layer top to meet the needs of soccer players with intermediate technical abilities."", 'The Keepdry 500 thermal base layer is recommended for temperatures from 45° to 68°F. It wicks away perspiration and retains body heat during long bouts of physical activity.', 'Warmth', 'This base layer protects from cold and improves thermal regulation in the body.', 'Breathability', 'The fabric wicks away perspiration, leaving the skin dry and the body warm.', 'Irritation reduction', 'The seamless knit reduces the number of seams, which are a source of chafing.', 'Freedom of movement', 'Very stretchy fabric that feels like a second skin.']"
https://decathlon-usa.myshopify.com/products/keepdry-500-base-layer-195054?adept-product=keepdry-500-base-layer-195054,Base Layer,Kipsta Keepdry 500 Base Layer Kids',Decathlon Kipsta,4.7,"3204
Reviews)",$19.99 ,$19.99 ,Black,"{'      Composition    ': ' Main fabric: 67.0% Polyethylene Terephtalate, 30.0% Polyamide, 3.0% Spandex', '      Why wear a base layer?    ': "" The base layer, also known as the inner layer, helps: . absorb perspiration and transfer it to the outside. Your skin stays dry and your body does not get cold . retain body heat; even more so when the product is close-fitting. . provide an additional barrier against bad weather. keep your soccer shirt dry, even when you're running hard. Playing with a technical base layer keeps you on the field for longer."", '      The keepdry 500 range gets a facelift for 2019    ': ' The complete outfit: base layer top and tights.Its design is inspired by the weave. The new fabric better manages moisture and retains body heat.There is a large amount of polyamide to reduce odors.The warmer body parts have been mapped and given a more open knit.Features such as the thumb hole and the 3D knit reduce the impact if you fall on your elbows, knees, or hipsThe product withstands pulling.', '      What our design team has to say    ': "" We're always listening to our users, and as a result we've crafted a product that meets the needs of more experienced players. In the heart of the action, the pace of play picks up and the intensity varies more. Clothing must be ultra-breathable to regulate your body temperature during the most intense phases of play. Your base layer should also be close-fitting in order to quickly absorb perspiration while keeping your body warm."", '      Fabric choice    ': ' These tights are made from a weave that blends a polyester thread (67%) to help wick away perspiration with a polyamide thread (30%) for greater softness and no unpleasant odors. These 2 threads, combined with spandex, ensure excellent comfort and a 2nd skin effect.', '      Thermal regulation    ': ' The combination of the fabric and the seamless technology offers excellent thermal regulation so you can play hard without getting chilled.', '      Match it with your kit    ': ' The range of available colors makes it easy to match with your kit so that you can comply with competition rules.', '      Storage instructions    ': ' Store in a dry and ventilated place; keep away from humidity.', '      Origin    ': ' Imported'}","[""Kipsta Keepdry 500 Base Layer Kids' | Our team of soccer designers has created the Keepdry 500 to meet the needs of young soccer players with intermediate technical abilities."", 'The Keepdry 500 wicks away perspiration & retains body heat during long bouts of physical activity. It is recommended for temperatures from 45° to 68°F depending on how sensitive you are to the cold.', 'Breathability', 'The fabric wicks away perspiration, leaving the skin dry and the body warm.', 'Warmth', ""The garment accentuates the body's ability to regulate body temperature."", 'Irritation reduction', 'The seamless knit reduces sources of chafing.', 'Easy to use', 'The thumb hole has changed based on your feedback. It stays closed on your arm.', 'Abrasion resistant', 'The elbows are thicker so that impacts with the floor after tackles are gentler.', 'Freedom of movement', 'The 4-way-stretch fabric feels like a 2nd skin.']"
https://decathlon-usa.myshopify.com/products/forclaz-trek-500-ventilated-hiking-cap-183271?adept-product=forclaz-trek-500-ventilated-hiking-cap-183271,Cap,Forclaz Trek 500 Ventilated Hiking Cap,Decathlon Forclaz,4.5,"3318
Reviews)",$16.99 ,$16.99 ,Carbon Gray,"{'      Composition    ': ' Main fabric: 100.0% Polyamide ; Yoke: 100.0% Polyethylene Terephtalate', '      Is my cap anti-uv?    ': "" Although the main fabric offers good protection against UV rays with a UPF greater than 50 (only allowing one fiftieth of the sun's rays to penetrate), under current regulations this cap cannot be regarded as anti-UV as it does not cover the back of the neck and because the vents are made from openwork fabric which does not block out UV rays."", ""      How do you measure a fabric's quick drying capacity?    "": ' The product is machine washed 3 times, then line dried, then we immerse it in water and measure how long it takes to get back to its pre-wash weight.This cap scored an impressive 5 out of 5 stars, returning to its pre-washed weight less than 80 minutes!', '      The crosshatch fabric offers additional resistance    ': ' The crosshatched fabric is a mesh-type fabric. The warp and weft design helps ensure durability and prevent potential tears and stop tears. It is therefore particularly durable compared to a smooth canvas, for example.', '      Product testing    ': "" The entire design team had the opportunity to test this cap during frequent excursions in the Mont Blanc mountain range, where Forclaz – Decathlon's backpacking brand – has its offices."", '      Origin    ': ' Imported'}","['Forclaz Trek 500 Ventilated Hiking Cap | Our passionate mountain team designed this cap for backpacking.', ""When climbing, in intense heat, the cap's vents allow air to circulate, lessening the impact of the heat."", 'Ventilation', 'Generous vents in ventilated fabric let air circulate.', 'Quick dry', '100% polyamide quick-drying fabric.', 'Durability', 'The crosshatched fabric guarantees better resistance to tearing.', 'Anatomical design', 'Adjustment system that allows you to adjust head size from 20” to 23.6”', 'Weight', 'The cap weighs around 1.8 oz']"
https://decathlon-usa.myshopify.com/products/inesis-golf-cap-306993?adept-product=inesis-golf-cap-306993,Cap,Inesis Golf Cap,Decathlon Inesis,4.5,"1905
Reviews)",$9.99 ,$9.99 ,Black,"{'      Composition    ': ' Main fabric: 98.0% Cotton, 2.0% Elastane ; Inner fabric: 100.0% Polyester', '      Sizing information    ': ' A single size that can be adjusted using the rip tab at the back of the cap.Head size: 22.8” (Rear Velcro tab allows you to adjust more or less by 1.6”).Visor length: 2.8”', '      Inesis product design    ': ' We develop our products to provide you with comfort when playing, whatever your level of skill. Our team of golf enthusiasts design each INESIS product after observing and listening to users, to ensure golf is always synonymous with enjoyment.', '      Product testing    ': ' This cap has been subjected to consecutive washing and drying tests to check its capacity to retain shape and color. Testing is conducted by an outside laboratory to ensure that our quality requirements are being met throughout the design process.', '      Origin    ': ' Imported'}","['Inesis Golf Cap | Our golfing designers developed this cap for mild-weather golfing at apparent temperatures of 50°F to 68°F.', 'Spandex for greater comfort', 'Adjustable', 'Cap adjustable at the back.', 'Stretchy', 'Thanks to its cotton and spandex material.']"
https://decathlon-usa.myshopify.com/products/backpacking-cap-travel-100-302963?adept-product=backpacking-cap-travel-100-302963,Cap,Travel 100 Hiking Cap,Decathlon Forclaz,4.6,"4485
Reviews)",$12.99 ,$12.99 ,Asphalt Blue,"{'      Composition    ': ' Main fabric: 100.0% Polyethylene Terephtalate ; Inner fabric: 100.0% Polyethylene Terephtalate', ""      How do you measure a fabric's quick drying capacity?    "": ' The product is machine washed 3 times, then line dried, then we immerse it in water and measure how long it takes to get back to its pre-wash weight.This cap gets a very good score of 4 out of 5 stars, returning to its pre-wash weight between 80 and 120 minutes following submersion', '      Why have we used checked fabric?    ': ' The crosshatched fabric is a mesh-type fabric. The warp and weft design helps ensure durability and prevent potential tears and stop tears. It is therefore particularly durable compared to a smooth canvas, for example.', '      Product testing    ': "" The entire design team had the opportunity to test this cap during frequent excursions in the Mont Blanc mountain range, where Forclaz – Decathlon's backpacking brand – has its offices."", '      Storage instructions    ': ' Do not tumble dry as this could damage the peak.', '      Origin    ': ' Imported'}","['Travel 100 Hiking Cap | Our enthusiastic backpacking and hiking team designed this cap to include all basic functions for a minimal price!', ""If you're looking for a simple, affordable cap to protect you from the sun, then this cap is made for you!"", 'Breathability', 'Fabric allows moisture generated by the head to escape', 'Quick dry', 'This cap takes 80 to 120 minutes to fully dry after being immersed in water.', 'Moisture wicking', 'The component absorbs and wicks away perspiration', 'Durability', 'Reinforced, hard-wearing, and durable fabric stops tears from getting bigger', 'Anatomical design', 'Adjustment system that allows you to adjust head size from 20” to 23.6”', 'Weight', 'The cap weighs around 1.5 oz.']"
